IP,Fila
10.50.242.11,IMP_094_SMT_REL_01
10.50.242.19,IMP_094_EXP_REL_01
10.50.242.22,IMP_094_FAT_NF1
10.50.242.23,IMP_094_FAT_NF2
10.50.242.24,IMP_094_FAT_REL_01
10.50.242.25,IMP_094_FAT_NF3
10.50.242.26,IMP_094_FAT_NF4
10.50.242.33,IMP_094_FAT_NF5
10.50.242.28,IMP_094_LOG_REL_01
10.50.242.29,IMP_094_QLT_REL_01
10.50.242.34,IMP_094_ADM_REL_01
10.50.242.37,IMP_094_NFE_REL_01
10.50.242.39,IMP_094_EST01_REL_01
10.50.242.41,IMP_094_EST02_REL_01
10.50.242.43,IMP_094_EST03_REL_01
10.50.242.45,IMP_094_EST04_REL_01
10.50.242.47,IMP_094_REC_REL_01
10.50.242.48,IMP_094_DQS_REL_02
10.50.242.54,IMP_094_SEG_REL_01
10.50.242.55,IMP_094_DQS_REL_01
10.50.242.59,IMP_094_TRA_REL_01
10.50.242.75,IMP_094_DQS_REL_03
10.50.242.77,IMP_094_SEG_REL_02
10.100.95.226,IMP_095_FAT_REL_01
10.100.95.227,IMP_095_FAT_REL_07
10.100.95.227,IMP_095_FAT_REL_08
10.100.95.227,IMP_095_FAT_REL_09
10.100.95.227,IMP_095_FAT_REL_10
10.100.95.227,IMP_095_FAT_REL_11
10.100.95.227,IMP_095_FAT_REL_12
10.100.95.227,IMP_095_FAT_REL_13
10.100.95.227,IMP_095_FAT_REL_14
10.100.95.227,IMP_095_FAT_REL_15
10.100.95.227,IMP_095_FAT_REL_16
10.100.95.227,IMP_095_FAT_REL_17
